1ch,2ch,3ch,4ch,5ch,6ch,7ch,8ch,class
8.83,8.24,11.87,21.52,19.09,3,2.18,11.6,oya
8.58,8.04,11.87,21.85,19.76,3.2,2.18,11.58,oya
8.63,8.04,11.92,21.87,19.96,3.19,2.18,11.67,oya
8.77,8.05,11.92,21.4,20.08,3.19,2.04,11.81,oya
8.85,8.08,11.9,19.92,20.37,3.19,2.05,11.99,oya
9.4,8.25,12.46,20.02,20.36,3.19,2.06,12.57,oya
9.47,8.54,12.59,20.38,20.63,3.46,2.06,11.91,oya
9.49,8.4,12.62,20.34,20.84,3.46,2.06,11.93,oya
9.55,8.47,11.46,20.13,21.3,3.54,2.11,12,oya
10.11,8.28,11.63,20.16,21.67,3.29,1.92,12.22,oya
10.2,7.48,11.32,20.13,21.64,3.35,1.91,12.22,oya
9.24,8.67,11.32,20.12,21.64,3.46,2.01,11.04,oya
9.55,8.68,11.05,20.19,21.85,3.34,1.82,10.18,oya
9.59,8.64,10.98,20.12,21.83,3.33,1.8,9.92,oya
9.67,8.58,11.68,20.19,21.96,3.42,1.84,9.92,oya
9.37,8.54,8.93,19.46,21.93,3.44,1.63,9.92,oya
8.35,8.38,9.15,12.96,13.86,3.29,1.48,9.66,oya
8.7,7.14,9.28,11.89,14.08,3.22,1.48,9.06,oya
8.47,7.13,9.39,12.06,13.5,3.02,1.4,9.44,oya
8.64,7,9.04,11.65,12.09,2.89,1.45,8.98,oya
8.31,7.1,8.97,9.84,12.22,2.57,1.38,9.52,oya
8.21,8.05,8.51,9.67,11.65,2.36,1.36,9.54,oya
8.63,8.05,8.58,9.63,12.49,2.4,1.36,9.73,oya
8.49,8.07,8.81,10,12.3,2.65,1.7,10.33,oya
8.87,8.23,9.27,10.29,13.77,2.78,1.75,10.15,oya
8.22,8.05,8.46,10.09,13.76,2.78,1.95,9.73,oya
7.6,7.76,8.16,9.61,15.54,2.45,2,9.75,oya
7.58,7.81,9.98,11.11,15.22,2.45,1.99,9.8,oya
7.5,7.85,9.96,10.29,14.79,2.32,1.95,9.54,oya
6.74,7.74,9.82,10.24,14.32,2.32,1.95,9.89,oya
6.61,11.99,9.82,10.98,14.33,2.22,2.14,9.95,oya
6.65,10.87,11.18,11.05,14.57,2.09,2.09,10.05,oya
6.12,10.97,11.36,11.05,14.18,2.13,2.09,10.23,oya
5.89,10.94,14.24,12.29,14.15,2.14,2.09,9.99,oya
6.24,11.11,14.93,13.13,13.93,1.95,2.05,9.99,oya
6.33,12.33,14.89,13.06,13.97,2.1,2.04,9.85,oya
6.79,13.81,14.8,13.19,14.08,2.16,2.14,9.54,oya
